age,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,economic_index,inflation_rate,market_risk_score,join_year,join_month,join_day,join_weekday,join_quarter,tenure_days,education_encoded,gender_encoded,region_East,region_North,region_South,region_West,loan_purpose_Business,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,credit_flag,high_risk_flag,txn_cluster,log_income,log_loan,sqrt_spend,recip_spend,debt_to_income,avg_monthly_txn,spend_to_income,loan_to_credit,risk_score
56.0,312698.7250420808,295001.58286696457,616.0,5,11,0.7484131892690976,0,106.89,6.73,0.25,2018,1,1,0,1,3044,1.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,12.652998664142958,12.594739390764865,0.8651087730852679,1.3361424583551316,0.9434051348538928,1.8333333333333333,2.3934001942872694e-06,478.8986734853321,2.365609775750286
69.0,366444.0887062228,224300.47220544,430.0,7,67,0.88120157891681,0,99.52,4.35,0.483,2018,1,2,1,1,3043,1.0,1,1,0,0,0,0,0,0,1,0,1,0,1,3,12.811603962907036,12.320746284041999,0.938723377208009,1.1348012485596313,0.6121001241890984,11.166666666666666,2.4047367827053877e-06,521.6290051289302,3.131865331374377
46.0,558438.5456652746,46729.94401100691,401.0,6,156,0.6157378288578275,0,113.02,6.34,0.713,2018,1,3,2,1,3042,0.0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,13.232901647523846,10.752161836881545,0.7846896385564343,1.6240414551764406,0.08367965351556628,26.0,1.1026062467165327e-06,116.53352621198731,2.583574484289964
32.0,462534.19631872507,180371.93486120636,609.0,9,199,0.3222935201151153,0,81.26,7.02,0.917,2018,1,4,3,1,3041,2.0,1,0,0,1,0,1,0,0,0,0,1,0,1,2,13.044477933187743,12.102781846869709,0.5677090100704015,3.1026654615588303,0.38996453948004933,33.166666666666664,6.967993343632217e-07,296.17723294122555,3.802048185373427
60.0,52353.7533350056,230170.00089017357,591.0,5,81,0.8973380868422337,1,112.32,6.27,0.508,2018,1,5,4,1,3040,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,10.865798011317198,12.346577793790596,0.9472793077240913,1.1143947534551484,4.396437432429007,13.5,1.7139899810053185e-05,389.45854634547135,3.4103429944345844
38.0,378626.9644285649,15620.641651925427,660.0,8,163,0.5107045170242351,1,91.9,3.99,0.707,2018,1,7,6,1,3038,0.0,1,0,0,0,1,0,0,1,0,0,1,0,1,2,12.844309377756966,9.656412517226148,0.714635933202519,1.9580410712165965,0.041256020092231324,27.166666666666668,1.3488329279321289e-06,23.667638866553677,3.279435629557081
56.0,591537.3172107104,110968.21519801284,637.0,0,36,0.760257027873467,0,81.87,7.74,0.673,2018,1,8,0,1,3037,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,13.290481740033165,11.617008101270024,0.871927191841995,1.3153273301843524,0.1875929243505107,6.0,1.2852224293444827e-06,174.2044194631285,0.1314543478933885
36.0,1.0,193592.22358512835,309.0,0,38,0.7526564186103735,0,119.63,6.52,0.634,2018,1,9,1,1,3036,3.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.6931471805599453,12.173514451069092,0.8675577321483415,1.3286098267095157,193592.22358512835,6.333333333333333,0.7526564186103735,626.5120504373085,1.6909411764705882
40.0,400053.9647696739,253629.090951719,348.0,0,24,0.8478391757387996,0,80.27,7.66,0.769,2018,1,10,2,1,3035,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,12.89935722857415,12.443632149678633,0.9207818285233477,1.1794550594787323,0.6339871949469188,4.0,2.1193120188845836e-06,728.8192268727557,0.36737262907231094
43.880434782608695,530521.300219777,19612.782109994645,574.4365591397849,7,183,0.772739075018768,1,110.79,4.04,0.56,2018,1,11,3,1,3034,1.0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,13.181617272382228,9.883987766988483,0.8790557860675101,1.2940811349087835,0.036968887209372615,30.5,1.4565655982118877e-06,34.14264255632452,2.9083483511723
